Invention,Year,Inventor,Category,Category 2,Earlier independent plausible description/patent of the concept?,Other development efforts?,Other successes or near successes?,Notes,Sources,Source Link,,,
Voltaic Pile,1800,Alessandro Volta,Electrical,,,,,,,,,,
Arc Lamp,1802,Humphry Davy,Electrical,,,Yes,,"Petrov didn't build a lamp but was also working with carbon arcs ""Humphry Davy is generally credited with the discovery of the arc discharge and the invention of the carbon arc lamp. Indeed, as early  as 1800, he obtained short pulsed arcs with his Voltaic pile. Independently, and earlier than Davy in the sense of continuous discharges, the Russian Vasilii Petrov of St. Petersburg made carbon arcs in 1802. Petrov used a pile of 4200 electrochemical cells to drive what was the most powerful discharge at that time. Petrov’s publication of 1803 appeared only in Russian, and his work was ignored and forgotten for over century. Davy pursued highly successful electrochemical experiments and was unaware of Petrov’s work.""",Tracking Down the Origin of Arc Plasma Science,https://digital.library.unt.edu/ark:/67531/metadc785757/m2/1/high_res_d/823202.pdf,,,
Isolation of morphine,1804,Friedrich Sertuner,Medical,,,,,,,,,,
Jacquard Loom,1804,Joseph-Marie Jacquard,Mechanical,,,,,"No located multiples, though it did Improve on earlier ideas ""An improvement of the draw loom took place in 1725, when Basile Bouchon introduced the principle of applying a perforated band of paper. A continuous roll of paper was punched by hand, in sections, each of which represented one lash or tread, and the length of the roll was determined by the number of shots in each repeat of pattern. The Jacquard machine then evolved from this approach.

Joseph Marie Jacquard saw that a mechanism could be developed for the production of sophisticated patterns. He possibly combined mechanical elements of other inventors, but certainly innovated. His machine was generally similar to Vaucanson's arrangement, but he made use of Jean-Baptiste Falcon's individual pasteboard cards and his square prism (or card ""cylinder""): he is credited with having fully perforated each of its four sides, replacing Vaucanson's perforated ""barrel"". Jacquard's machine contained eight rows of needles and uprights, where Vaucanson had a double row. This modification enabled him to increase the figuring capacity of the machine. """,Wikipedia,https://en.wikipedia.org/wiki/Jacquard_machine,,,
High-pressure steam locomotive,1804,Richard Trevithick,Mechanical,,,Yes,,"There were other efforts to build both steam-powered rail vehicles and high-pressure engines. ""In 1784, William Murdoch, a Scottish inventor, built a small-scale prototype of a steam road locomotive in Birmingham.[14][15] A full-scale rail steam locomotive was proposed by William Reynolds around 1787.[16] An early working model of a steam rail locomotive was designed and constructed by steamboat pioneer John Fitch in the US during 1794.[17] Some sources claim Fitch's model was operable already by the 1780s and that he demonstrated his locomotive to George Washington.[18] His steam locomotive used interior bladed wheels guided by rails or tracks. The model still exists at the Ohio Historical Society Museum in Columbus, US.[19] The authenticity and date of this locomotive is disputed by some experts and a workable steam train would have to await the invention of the high-pressure steam engine by Richard Trevithick, who pioneered the use of steam locomotives.[20] ... Watt's patent prevented others from making high pressure and compound engines. Shortly after Watt's patent expired in 1800, Richard Trevithick and, separately, Oliver Evans in 1801[31][33] introduced engines using high-pressure steam...Evans also began experimenting in this period with steam power and its potential for commercial application. His early ideas culminated in a Delaware state patent application in 1783 for a steam-powered wagon, but it was denied as Evans had yet to produce a working model.""",Wikipedia,https://en.wikipedia.org/wiki/Oliver_Evans,https://en.wikipedia.org/wiki/Steam_engine#High-pressure_engines,,
General anaesthetic,1804,Hanaoka Seishu,Medical,,,,,,,,,,
"Internal combustion engine ""Pyreolophore""",1807,Nicéphore & Claude Niépce,Mechanical,Chemical,,,Yes,"""Operating independently, in 1807 the Swiss engineer François Isaac de Rivaz built the de Rivaz engine, a hydrogen-powered internal combustion engine.""",Wikipedia,https://en.wikipedia.org/wiki/Pyr%C3%A9olophore,,,
Commercial steamboat,1807,Robert Fulton,Mechanical,,,,Yes,"""As early as 1793, Fulton proposed plans for steam-powered vessels to both the United States and British governments. The first steamships had appeared considerably earlier. The earliest steam-powered ship, in which the engine moved oars, was built by Claude de Jouffroy in France. Called Palmipède, it was tested on the Doubs in 1776. In 1783, de Jouffroy built Pyroscaphe, the first paddle steamer, which sailed successfully on the Saône. The first successful trial run of a steamboat in America had been made by inventor John Fitch, on the Delaware River on August 22, 1787. William Symington had successfully tried steamboats in 1788, and it seems probable that Fulton was aware of these developments.""",Wikipedia,https://en.wikipedia.org/wiki/Robert_Fulton?utm_source=chatgpt.com,,,
Canning process,1810,Nicolas Appert,Medical,,,,,"Durand was parallel but this was based on Appert's efforts. ""Peter Durand…simply patented in England a process developed in France by Nicholas Appert""","The Fathers of Canning, Origins of the Canning Industry",https://www.tandfonline.com/doi/pdf/10.1179/tns.1965.011,https://scholarlypublishingcollective.org/uip/jaf/article-abstract/136/539/16/342984/The-Father-s-of-Canning-Narrating-Nicolas-Appert,,
Wrist Watch,1810,Abraham-Louis Breguet,Mechanical,,,,,"Portable watches (pocketwatches) existed for many years, so this seems like a fairly unimportant ""first""",Wikipedia,https://en.wikipedia.org/wiki/Pocket_watch,,,
